gene_name,counts
ddlB,1
casE,1
yabE,1
kbl,1
mhpT,1
yoaK,1
thrS,1
folX,1
atpB,2
yqjD,1
yhfT,1
priB,1
zapC,1
xerD,1
aaeR,1
yfjS,1
gltA,1
tolB,1
agp,1
wzzB,1
sdaC,1
fecD,1
ycgM,1
scpB,1
allS,1
yidG,1
ydfI,1
yqjF,1
yafQ,1
roxA,1
kduI,1
lrhA,1
nfuA,1
recO,1
mgsA,1
gspO,1
flgN,1
lsrG,1
cdd,1
ansP,1
rpoZ,1
pyrR,1
ybjG,1
bcsA,1
garR,2
nsrR,1
ybhH,1
rpsD,1
hlyE,1
cspD,1
yfjX,1
bglG,1
lplT,1
yciY,1
ycbK,1
letB,1
ycjD,1
hokB,1
hsrA,1
pdeF,1
yihR,1
hsdM,1
ynaL,1
pinQ,1
ynjD,1
mutY,1
rcnB,1
ycgY,1
ytfT,1
nrdR,1
tfaD,1
ygfS,1
kefB,1
mltG,2
hdfR,1
yjbG,1
atpI,2
rsuA,1
cspF,1
trpB,1
wbbH,1
yfiS,1
frvA,1
nanM,1
pyrI,1
dusB,2
ppnN,1
yqhG,1
cyaY,1
chiP,1
yeaW,1
nudG,1
ybjN,1
yceJ,1
mlaE,1
yafD,1
yeeY,1
udk,1
bamE,1
frvR,1
rsmC,1
ydhR,1
ybjC,1
paaI,1
yqjA,1
betI,1
nadE,1
glgX,1
yiaN,1
mdfA,1
rutC,1
flgE,1
adaA,1
ileS,1
rzpQ,1
cspI,1
pliG,1
mhpR,1
ygiN,1
ybfP,2
ynfH,1
hdeA,1
waaG,1
nirD,1
dnaB,1
yjjI,1
gcvH,1
glsB,1
ompN,1
leuS,1
yjgN,1
yaaJ,5
ylcG,1
pgrR,1
yebY,1
ycfH,1
phnF,1
yoeJ,1
yihI,1
flgJ,1
flhD,1
fecB,1
gucD,1
hyfR,1
yiiM,1
rsmB,1
putA,1
manA,1
cpxP,1
yaiO,1
yhgN,1
yaiS,1
narH,1
yajG,1
ynfD,1
prmB,1
nudI,1
rutR,1
frdC,1
msrB,1
creC,1
umuC,1
flgI,1
damX,1
greA,1
hcp,1
ddpF,1
dam,1
wrbA,1
yhfU,1
ulaG,1
recT,1
ttdB,1
yafE,1
mnmA,1
lptD,1
yabQ,1
ompA,1
glcG,1
nikA,1
yjjQ,1
pyk,2
mdtI,1
clpX,1
cheY,1
hemE,5
ulaB,1
tadA,2
ycbX,1
hisA,1
wecE,1
pstS,2
lacI,1
ynaM,1
yejA,1
argD,1
parC,1
yobF,1
rlmE,1
ffh,1
yfaL,1
ybfB,2
pheM,1
yicN,1
yahI,1
yifB,1
ymgN,1
phr,1
hybA,1
insH9,1
yaaU,1
ygjP,1
elbB,1
ydjJ,1
yqeA,1
ydcV,1
xynR,1
ybcK,1
hyi,1
ynaA,1
yccU,1
yfcQ,1
yfjI,1
casB,1
mepH,1
flhE,1
hcaD,1
yiaG,1
yehR,1
fldB,1
recG,1
insC4,1
rluF,1
citC,1
yohP,1
glgB,1
dgcM,1
yjfM,1
gcvT,1
menD,1
insC6,1
ybjX,1
ispB,1
pptA,1
insC1,1
yggT,1
narL,1
ubiK,1
ypjB,1
ydfJ,1
rsxG,1
yfcP,1
eptB,1
bioA,1
atoA,1
yfjY,1
selO,1
yajQ,1
csgF,1
mukB,1
yncG,1
cspB,1
ybhM,1
yhjB,1
yciE,1
nfrB,1
rseD,1
yjeN,1
bidA,1
rpmF,1
uhpA,1
ytgB,1
alpA,1
lysA,1
ynjI,1
pflA,1
fliH,1
nuoM,1
thiQ,1
arcB,1
murB,1
ssuD,1
potG,1
rcnA,1
yiiF,1
ytfF,1
dppD,1
opgB,1
allD,1
yjiG,1
yajC,1
ycgZ,1
ygcS,1
rplJ,3
ykfF,1
pdeN,1
tcyN,1
pdeC,1
rzoD,1
insF5,1
yecJ,1
uhpC,1
bipA,1
arnD,1
kbaZ,1
phnM,1
dcuD,1
dgcE,1
yaaI,6
livF,1
yaiZ,1
ubiV,1
rutF,1
ugpB,1
yceQ,1
tpx,1
yeaK,1
yqgC,1
purT,2
dhaL,1
ynfU,1
shoB,1
thrC,17
prpC,1
ydgJ,1
yfcE,1
sseA,1
setC,1
nuoN,1
ppc,1
yciG,1
ubiU,1
plsY,2
csgG,1
dnaE,1
ispU,1
ydcI,1
gntT,1
kbaA,1
fic,1
ydhP,1
mntH,1
moaC,1
deoR,1
uup,1
ydjK,1
ogrK,1
pitB,1
can,1
pdeH,1
frvB,1
ycjF,1
tam,1
yagP,1
cra,1
ybfE,1
ydcF,1
yhaH,1
uhpT,1
purH,1
rspB,1
miaA,1
yphE,1
yqhA,1
lyxK,1
ybbC,2
eno,3
bisC,1
ylaC,1
lptA,2
dgoK,1
hisF,1
yjdF,1
aidB,1
lsrB,1
slyB,1
ybeR,1
nfeR,1
argH,1
deoD,1
yncL,1
yqjC,1
yajR,1
sdhA,1
ebgA,1
flgG,1
sfmC,1
fumA,1
rzoR,1
zupT,1
ysgA,1
mfd,2
bcsF,1
hyaE,1
coaA,1
insH21,1
sfmH,1
rmf,1
ybcH,2
yafC,1
mepM,1
astD,1
fliA,1
php,1
glnT,1
yegD,1
trxC,1
nfo,1
darA,1
fliQ,1
lysC,1
fepD,1
cspC,1
barA,1
nagZ,2
gyrB,143
fabZ,1
pdxT,1
yehY,1
mug,1
yhiJ,1
ecfT,1
serA,1
bcsB,1
flgF,1
ibsA,1
ynaI,1
ubiJ,1
fdoH,1
gabP,1
malS,1
suhB,1
intF,1
cspE,1
ymfI,1
feoC,1
bioH,1
rpsN,1
yjiA,1
ulaD,1
aslB,1
glnE,1
xylE,1
arcA,1
rplX,2
yfjQ,1
lacZ,1
ascF,1
crl,1
cysA,1
rihB,1
puuD,1
hisS,1
acpS,1
ybaY,1
