gene_name,counts
['rep'],1
['cynR'],1
['treC'],1
['entF'],1
['malX'],1
['caiC'],1
['hisB'],1
['ynfA'],1
['argI'],1
['glnU'],1
['cdaR'],2
['yfdG'],1
['msrA'],1
['yqiG'],1
['mdtI'],1
['fis'],1
['bcsQ'],1
['yecV'],1
['yehM'],1
['insH1'],1
['amiC'],1
['ydfI'],1
['hyfH'],1
['yjbB'],1
['xanQ'],1
['ascF'],1
['rplC'],2
['ilvM'],1
['phnI'],1
['metL'],1
['pyrB'],1
['flhD'],1
['ppsA'],1
['evgL'],1
['rcdA'],1
['ynbB'],1
['yohJ'],1
['psiE'],1
['ybhL'],1
['yphA'],1
['yjaB'],1
['trpC'],1
['recG'],1
['appC'],1
['fepE'],1
['gshB'],1
['yibF'],1
['fucU'],1
['ypfG'],1
['yecU'],1
['yfjY'],1
['ileV'],1
['yggX'],1
['dadA'],1
['ybjL'],1
['pspF'],1
['cpsB'],1
['nfo'],1
['alx'],1
['yjgH'],1
['aat'],1
['insH6'],1
['rlmG'],2
['nanM'],1
['cmk'],1
['yhgO'],1
['yfgO'],1
['treR'],1
['rsmJ'],1
['frvX'],1
['fsr'],1
['letB'],1
['gutQ'],1
['ybjH'],1
['sapF'],1
['yrbL'],1
['ymgN'],1
['ftsK'],1
['ynbG'],1
['gabD'],1
['ldlM'],1
['srlB'],1
['ebgR'],1
['frwC'],1
['ybaQ'],1
['cusF'],1
['bhsA'],1
['hyfI'],1
['dksA'],1
['ypeC'],1
['phoQ'],1
['mqsR'],1
['ftsO'],1
['ybiI'],1
['serB'],1
['greB'],1
['yadV'],1
['trmH'],1
['btsS'],1
['anmK'],1
['csgG'],1
['rplA'],3
['ycaC'],1
['ydcA'],1
['napB'],1
['potI'],1
['argK'],1
['adhP'],1
['wcaC'],1
['tufA'],2
['rrnO-5S'],1
['mcrA'],1
['ompF'],1
['folC'],1
['ybfEn'],1
['ygdB'],1
['rzpD'],1
['manX'],1
['ythB'],1
['agaA'],1
['rplQ'],2
['yohF'],1
['fliC'],1
['lpoB'],1
['holB'],3
['tufB'],1
['yhdH'],1
['asd'],1
['pdxS'],1
['dayD'],1
['thiM'],1
['araC'],1
['ryeA'],1
['ypjC'],1
['yacH'],1
['mmuP'],1
['yabM'],1
['gmk'],1
['yieK'],1
['yjhR'],1
['yfdX'],1
['ung'],1
['treA'],1
['argP'],1
['arfB'],1
['mdtJ'],1
['mrdA'],1
['galU'],1
['fruB'],1
['loiP'],1
['envR'],1
['aldB'],1
['yjeJ'],1
['sapA'],1
['hofP'],1
['gloA'],1
['yaiZ'],1
['bfd'],1
['yiaN'],1
['lgoR'],1
['yeiP'],1
['dsdA'],1
['tldD'],1
['yfhR'],1
['ygbI'],1
['letA'],1
['yifN'],1
['mhpD'],1
['yncO'],1
['yggR'],1
['nrfB'],1
['lolD'],1
['ampG'],1
['ansA'],1
['yghX'],1
['ydiH'],1
['arrS'],1
['gspJ'],1
['intZ'],1
['yodC'],1
['caiF'],1
['moaC'],1
['ralR'],1
['dsdX'],1
['ygeQ'],1
['afuC'],1
['yfaE'],1
['yhiS'],1
['yihY'],1
['mngA'],1
['rrnJ-16S'],1
['flgB'],1
['exoX'],1
['yfgG'],1
['mprA'],1
['msbA'],1
['yegR'],1
['ivy'],1
['yheV'],1
['yhhX'],1
['ydhI'],1
['ygaP'],1
['yahE'],1
['yadH'],1
['maeA'],1
['sstT'],1
['ybjI'],1
['nimR'],1
['basR'],1
['rfaD'],2
['dedD'],1
['frmR'],1
['yedD'],1
['yiiR'],1
['yeeO'],1
['pepQ'],1
['hflC'],1
['chpB'],1
['ydcS'],1
['frlR'],1
['rhaM'],1
['fhuC'],1
['zbiJ'],1
['sibA'],1
['kbl'],1
['malM'],1
['lysR'],1
['hycI'],1
['fliX'],1
['yaeQ'],1
['ymiC'],1
['yhjV'],1
['serA'],1
['ftsA'],1
['ecpC'],1
['patD'],1
['nuoL'],1
['yfiL'],1
['hicA'],1
['rhaB'],1
['gltT'],1
['fliQ'],1
['insC2'],1
['yjdF'],1
['pspD'],1
['pqiB'],1
['rfbD'],1
['gmhA'],1
['glmU'],3
['yqfA'],1
['znuA'],1
['ddpB'],1
['mlc'],1
['insL3'],1
['ybhK'],1
['hybF'],1
['yhfT'],1
['nikA'],1
['yjbG'],1
['ygiL'],1
['trnSL-Thr1'],1
['lacY'],1
['argU'],1
['ymgM'],1
['fadK'],1
['yihP'],1
['glnW'],1
['hyaB'],1
['C0293'],1
['arcZ'],1
['spcQ'],1
['plsY'],2
['menH'],1
['apt'],1
['ridA'],2
['ddpF'],1
['dnaQ'],1
['ynaL'],1
['ykfH'],1
['feoB'],1
['ulaC'],1
['kdpC'],1
['fsaA'],1
['hemA'],1
['yqhD'],1
['lexA'],1
['salA'],1
['ryfA'],1
['nrfG'],1
['yheU'],1
['fldA'],1
['yddA'],1
['ispF'],2
['speG'],1
['rsuA'],1
['glyU'],1
['glpB'],1
['nudI'],1
['ydjG'],1
['kefF'],1
['narZ'],1
['ptsI'],1
['gap'],1
['yhdX'],1
['hsdR'],1
['cyoA'],1
['yjfP'],1
['hsdM'],1
['acnB'],1
['yfdE'],1
['yeeZ'],1
['glpT'],2
['qorB'],1
['pabA'],2
['dinJ'],1
['glvC'],1
['fimF'],1
['ycaN'],1
['alr'],1
['cspE'],1
['secM'],1
['yacD'],1
['yiiE'],1
['lpp'],1
['ompT'],1
['narI'],1
['sbcD'],1
['gabP'],1
['glcE'],1
['yjbE'],1
['fau'],1
['mrp'],1
['glcA'],1
['tyrB'],1
['oxyS'],1
['yggP'],1
['rrfA'],1
['wecC'],1
['frwB'],1
['sgcX'],1
['uxaA'],1
['idnT'],1
['hyaD'],1
['yfaY'],1
['rne'],1
['ibpA'],1
['thiH'],1
['flk'],1
['mcsB'],1
['lamB'],1
['gyrA'],35
['pqiA'],1
['insE5'],1
['glpA'],1
['mepA'],1
['yicS'],1
['yfeH'],1
['ycjT'],1
['mutH'],1
['phnE'],1
['ygbN'],1
['idlP'],1
['nuoJ'],1
['ybaJ'],1
['yidH'],1
['murP'],2
['gmhB'],2
['tehA'],1
['ymjB'],1
['hchA'],1
['dgcT'],1
['exuT'],1
['yqhA'],1
['cusC'],1
['ynfQ'],1
['pssA'],2
['ybeR'],1
['ygfM'],1
['ygdT'],1
['yqhH'],1
['pgaD'],1
['yojO'],1
['yffL'],1
['purN'],1
['yejB'],1
['lolE'],1
['hupB'],1
['torY'],1
['rlmN'],1
['mutY'],1
['srkA'],1
['gadY'],1
['rrlE'],1
['fryA'],1
['ybcJ'],1
['yjfJ'],1
['glnL'],2
['nohA'],1
['glyA'],1
['yhcA'],1
['ymiD'],1
['acpP'],1
['sibE'],1
['dapF'],1
['yidB'],3
['cedA'],1
['fimZ'],1
['smf'],1
['ygeA'],1
['rarD'],1
['dgoD'],1
['spf'],1
['dsbG'],1
['yhhM'],1
['yecD'],1
['rrfC'],1
['rprA'],1
['nadA'],1
['rpmB'],1
['ymgI'],1
['ydeJ'],1
['nrdH'],1
['yhdY'],1
['yiaV'],1
['ilvI'],1
['yfeZ'],1
['yihA'],1
['insH3'],1
['yjjV'],1
['frlD'],1
['pdeL'],1
['pbpC'],1
['yhgN'],1
['creD'],1
['uspF'],1
['ydfD'],1
['phnF'],1
['ymgE'],1
['drpB'],1
['esrE'],1
['ydhK'],1
['oppA'],1
['gspI'],1
['ybfB'],2
['ygcO'],1
['hemB'],2
['yfaA'],1
['yfeS'],1
['rrf'],2
['yghR'],1
['lldP'],1
['caiE'],1
['uspD'],1
['ghoS'],1
['rfbX'],1
['baeS'],1
['yjhQ'],1
['yqhG'],1
['yifB'],1
['ybdD'],1
['betT'],1
['recB'],1
['pitB'],1
['ldrA'],1
['gsk'],1
['sodC'],1
['yggN'],1
['melA'],1
['yedN'],1
['dacD'],1
['yqiI'],1
['ydeA'],1
['ygcS'],1
['ybeQ'],1
['topB'],1
['yhgH'],1
['rplT'],1
['flgL'],1
['rpmGB'],1
['php'],1
['yijD'],1
['igaA'],1
['ytcB'],1
['yqgB'],1
['phoU'],2
['ycjW'],1
['ydhR'],1
['ybdN'],2
['cynS'],1
['ccmC'],1
['arnA'],1
['gltB'],1
['rrlD'],1
['ribA'],1
['gutM'],1
['tusA'],1
['fklB'],1
['aceE'],1
['dppA'],1
['roxA'],1
['mak'],1
['smpB'],1
['yfcG'],1
['yqcC'],1
['glyT'],1
['ybzI'],1
['ycbU'],1
['pinH'],1
['jayE'],1
['fecB'],1
['rsmA'],2
['ybhH'],1
['bioA'],1
['yriB'],1
['yddJ'],1
['insD6'],1
['hslO'],2
['lpxH'],1
['solA'],1
['ygaH'],1
['iadA'],1
['malG'],1
['chaA'],1
['mnaT'],1
['xdhB'],1
['ypjF'],1
['setC'],1
['syd'],1
['thiG'],1
['ggt'],1
['puuR'],1
['tpx'],1
['yehQ'],1
['yjdJ'],1
['rrsA'],1
['ylbI'],1
['pspB'],1
['topA'],1
['yebG'],1
['ymfA'],1
['guaA'],1
['thyA'],1
['galR'],1
['rutC'],1
['dgt'],1
['ypdK'],1
['pdeA'],1
['ynfH'],1
['eutP'],1
['cyuP'],1
['lrp'],1
['yjdI'],1
['lptF'],1
['paaF'],1
['kdsC'],1
['ampD'],1
['yfbO'],1
['fadR'],1
['psaA'],1
['sokA'],1
['intB'],1
['ybjO'],1
['yddE'],1
['gucD'],1
['fepB'],1
['alaS'],1
['ydjM'],1
['yqjD'],1
['caiB'],1
['coaX'],1
['yagE'],1
['rrlH'],1
['ygiM'],1
['alkA'],2
['umpH'],1
['hdhA'],1
['recD'],1
['ytiA'],1
['oxyR'],1
['rluA'],1
['hybE'],1
['eesA'],1
['cfa'],1
['lpxD'],1
['fetA'],1
['pth'],2
['fruK'],1
['norV'],1
['ygjJ'],1
['bamD'],1
['mukB'],1
['uvrD'],1
['surA'],1
['ldtB'],1
['trpA'],1
['ohsC'],1
['yqjC'],1
['narQ'],1
['cyoC'],1
['uidB'],1
['cvpA'],1
['purU'],1
['valZ'],1
['def'],1
['ugpE'],1
['hofO'],1
['eutB'],1
['trpB'],1
['bluF'],1
['tfaS'],1
['mgrR'],1
['yfcU'],1
['argT'],1
['nrfF'],1
['fecA'],1
['yhjR'],1
['hxpB'],1
['narS'],1
['ynfO'],1
['yhcE'],1
['metG'],1
['yqjE'],1
['livH'],1
['yfgH'],1
['gdx'],1
['ymjC'],1
['yecA'],1
['yjfK'],1
['yecJ'],1
['sxy'],1
['cbl'],1
['yddY'],1
['iprA'],1
['ydfE'],1
['remB'],2
['caiA'],1
['hyuA'],1
['ubiJ'],1
['fes'],1
['eptB'],1
['yihR'],1
['yihV'],1
['gdhA'],1
['eutA'],1
['yqeC'],1
['ydiM'],1
['gyrB'],143
['eno'],3
['ybgP'],1
['secB'],1
