name,EnsemblGenomes-Tr,InterPro,UniProtKB/Swiss-Prot,GOA,PDB,SubtiList,ASAP,ECOCYC,GeneID,EnsemblGenomes-Gn
dnaA,,,,,,,,,45123506,
dnaN,,,,,,,,,45123507,
recF,,,,,,,,,45123508,
dnaA,,,,,,,,,57664813,
dnaN,,,,,,,,,57664814,
recF,,,,,,,,,57664815,
gyrB,,,,,,,,,57664816,
yidA,,,,,,,,,57664817,
dnaA,,,,,,,,,41354800,
dnaN,,,,,,,,,41354801,
dnaA,,,,,,,,,55589808,
dnaN,,,,,,,,,55589809,
recF,,,,,,,,,55589810,
dnaA,,,,,,,,,67387779,
dnaN,,,,,,,,,67387780,
dnaA,,,,,,,,,8833892,
dnaN,,,,,,,,,8829629,
recF,,,,,,,,,8829630,
gyrB,,,,,,,,,8829631,
dnaA,,,,,,,,,29761177,
dnaN,,,,,,,,,29760340,
gyrB,,,,,,,,,29760320,
bfr,,,,,,,,,57471663,
dnaA,,,,,,,,,5707373,
dnaN,,,,,,,,,5707575,
gnd,,,,,,,,,5707576,
recF,,,,,,,,,5707577,
dnaA,,,,,,,,,45232533,
dnaN,,,,,,,,,45232534,
recF,,,,,,,,,45232535,
gyrB,,,,,,,,,45232536,
glmS,,,,,,,,,9963055,
dnaA,,,,,,,,,878417,
dnaN,,,,,,,,,879244,
recF,,,,,,,,,879229,
gyrB,,,,,,,,,879230,
lptA,,,,,,,,,877576,
dnaA,,,,,,,,,45054338,
dnaA,,,,,,,,,44996474,
dnaN,,,,,,,,,44996475,
yaaA,,,,,,,,,44996476,
recF,,,,,,,,,44996477,
dnaA,,,,,,,,,58015567,
dnaN,,,,,,,,,58015568,
recF,,,,,,,,,58015569,
gyrB,,,,,,,,,58015570,
thrA,,,,,,,,,6803166,
thrB,,,,,,,,,6801079,
thrC,,,,,,,,,6801127,
dnaA,,,,,,,,,61130859,
dnaN,,,,,,,,,61130860,
recF,,,,,,,,,61130861,
dnaA,,,,,,,,,3786822,
dnaN,,,,,,,,,3788685,
recF,,,,,,,,,3786823,
dnaA,,,,,,,,,31488958,
dnaN,,,,,,,,,31488959,
recF,,,,,,,,,31488960,
gyrB,,,,,,,,,31488961,
nusG,,,,,,,,,67445487,
rplK,,,,,,,,,67445488,
rplA,,,,,,,,,67445489,
rplJ,,,,,,,,,67445490,
rplL,,,,,,,,,67445491,
rpoB,,,,,,,,,67445492,
rpoC,,,,,,,,,67445493,
xseB,,,,,,,,,24779769,
xseA,,,,,,,,,5216323,
dnaA,,,,,,,,,41357509,
dnaA,,,,,,,,,9384321,
dnaN,,,,,,,,,9380389,
recF,,,,,,,,,9380390,
gyrB,,,,,,,,,9380391,
cybC,,,,,,,,,9380392,
mioC,,,,,,,,,9735696,
asnC,,,,,,,,,9731388,
viaA,,,,,,,,,9731389,
ravA,,,,,,,,,9731390,
kup,,,,,,,,,9731391,
rbsD,,,,,,,,,9731392,
rbsA,,,,,,,,,9731393,
rbsC,,,,,,,,,9731394,
