gene_name,counts
atpB,2
garR,2
mltG,2
atpI,2
dusB,2
ybfP,2
yaaJ,5
pyk,2
hemE,5
tadA,2
pstS,2
ybfB,2
rplJ,3
yaaI,6
purT,2
thrC,17
plsY,2
ybbC,2
eno,3
lptA,2
mfd,2
ybcH,2
nagZ,2
gyrB,143
rplX,2
rplK,3
hslO,2
hslR,2
fusA,2
viaA,10
mcrB,2
atpE,2
pssA,2
fabF,2
abrB,2
dacA,2
rsmA,2
waaA,2
rlmG,2
cdaR,2
ahpF,2
rpsF,2
rpoC,3
ybdJ,2
satP,5
garD,2
recF,188
ybdG,2
rplF,2
rpmJ,2
rlbA,3
cas2,2
ybdO,2
rpsC,2
ybdN,2
tilS,2
rpiB,2
rplE,2
rpsJ,2
mnmE,2
repB,2
gltX,2
yaaA,67
cysS,2
glmS,4
xseB,2
rpsG,2
glnL,2
psd,2
gltP,2
yabR,2
ybfQ,2
prs,2
pstA,2
ilvE,2
folP,2
glyS,2
thrA,17
ybeF,2
pth,2
mokC,2
dnaX,3
murP,2
rplW,2
bfr,2
atpD,2
atpC,2
repA,2
ispD,2
gyrA,35
rplV,2
tsaD,2
cheA,2
rplL,3
adk,2
tmk,3
kup,10
gnd,24
rpmD,2
asnA,5
hemC,2
ssb,2
mioC,12
rplB,2
rplC,2
dgoR,4
rplM,2
glpT,2
holB,3
dnaJ,5
nhaA,2
yidB,3
ribD,2
rbsA,2
hemB,2
qseC,2
infB,3
thrB,17
ispF,2
glmU,3
rsmG,3
rbsD,5
rpsS,2
hflX,2
ybdK,2
murR,2
rplA,3
dnaA,341
rpsE,2
dbpA,2
nadD,4
atpF,2
yibX,2
nadC,2
clpB,2
phoU,2
pabC,3
mog,5
rpsK,2
truA,2
rpoB,3
pstC,2
ycbJ,2
msyB,5
guaB,2
glyQ,2
tyrS,3
ovoA,4
obgE,6
secE,2
rfaD,2
atpH,2
aroA,2
ruvC,4
gmhB,2
yaaX,5
cysK,2
rplP,2
ybcF,2
xseA,2
copA,2
secY,2
ftsH,2
istA,2
ybcL,2
ybfF,2
rsmI,2
atpA,2
folB,2
aroK,2
recR,2
murA,2
folK,2
ybcI,2
csgA,2
aroB,2
serS,2
rlmB,3
pstB,2
glsA,2
ybdM,2
rpsI,2
alkA,2
yidA,11
rpsL,2
rplD,2
purR,2
ravA,10
cobB,2
pabA,2
tal,4
rpsQ,2
ybbJ,2
rbsB,2
asnC,10
gudP,2
rpsM,2
infA,2
dnaN,270
mrcB,2
ispE,2
nhaR,2
atpG,2
rpmH,8
yidC,3
ybcM,2
yidD,6
rbsK,5
thrL,16
rplR,2
istB,2
rpsH,2
ruvA,2
rpsR,2
rplO,2
ybfA,2
pabB,2
rpoA,2
rpsT,6
remB,2
rnpA,7
yacL,2
glmM,2
ybaK,2
waaF,2
gudD,2
radA,2
rbsR,2
lysS,2
tufA,2
rbsC,2
rpmC,2
purB,2
rnr,2
murQ,2
nusG,3
dnaK,5
cysE,2
ridA,2
rplQ,2
mnmG,6
