gene_name,counts
['cdaR'],2
['rplC'],2
['rlmG'],2
['rplA'],3
['tufA'],2
['rplQ'],2
['holB'],3
['rfaD'],2
['glmU'],3
['plsY'],2
['ridA'],2
['ispF'],2
['glpT'],2
['pabA'],2
['gyrA'],35
['murP'],2
['gmhB'],2
['pssA'],2
['glnL'],2
['yidB'],3
['ybfB'],2
['hemB'],2
['rrf'],2
['phoU'],2
['ybdN'],2
['rsmA'],2
['hslO'],2
['alkA'],2
['pth'],2
['remB'],2
['gyrB'],143
['eno'],3
['yidA'],11
['ahpF'],2
['psd'],2
['aroB'],2
['atpI'],2
['dnaX'],2
['pstC'],2
['glyS'],2
['ybdJ'],2
['xseB'],2
['ybfO'],2
['hemC'],2
['mioC'],12
['murR'],2
['rpsQ'],2
['dnaN'],270
['ybcH'],2
['truA'],2
['pabC'],3
['gltP'],2
['nhaR'],2
['mog'],5
['yidC'],3
['pabB'],2
['purT'],2
['asnA'],5
['ybeF'],2
['tilS'],2
['rpsJ'],2
['dnaJ'],5
['ybfQ'],2
['mfd'],2
['atpD'],2
['ilvE'],2
['thrA'],17
['yidD'],6
['lysS'],2
['mokC'],2
['yaaA'],67
['ybfA'],2
['recR'],2
['obgE'],6
['thrC'],17
['csgA'],2
['gudD'],2
['thrL'],16
['ybdO'],2
['rbsC'],2
['fusA'],2
['dnaK'],5
['istB'],2
['atpE'],2
['ybdK'],2
['yacL'],2
['satP'],5
['ispD'],2
['qseC'],2
['rbsA'],2
['glyQ'],2
['rplR'],2
['rpsI'],2
['nagZ'],2
['rplM'],2
['rpsG'],2
['ravA'],10
['purB'],2
['ybaK'],2
['tyrS'],3
['rpmJ'],2
['waaA'],2
['rpsE'],2
['murA'],2
['rpmC'],2
['ycbJ'],2
['glmM'],2
['mnmE'],2
['pyk'],2
['atpH'],2
['rpsS'],2
['thrB'],17
['ybfI'],2
['mnmG'],6
['rpsT'],6
['pstB'],2
['rlmB'],3
['pstA'],2
['rpoB'],3
['rpoC'],3
['infA'],2
['dacA'],2
['rplO'],2
['adk'],2
['recF'],188
['cybC'],2
['rplL'],3
['xseA'],2
['ybdG'],2
['rplB'],2
['dnaA'],352
['ybfF'],2
['secY'],2
['rpsF'],2
['ssb'],2
['rpsR'],2
['dusB'],2
['dbpA'],2
['gltX'],2
['yaaX'],5
['serS'],2
['rpsL'],2
['lptA'],2
['garD'],2
['ybcF'],2
['rbsD'],5
['rlbA'],3
['asnC'],10
['hemE'],5
['rplK'],3
['ybbJ'],2
['glsA'],2
['rplW'],2
['cysS'],2
['rplV'],2
['hslR'],2
['gnd'],24
['atpC'],2
['cas2'],2
['rpsK'],2
['secE'],2
['msyB'],5
['rbsK'],5
['murQ'],2
['bfr'],2
['rpsH'],2
['ybdM'],2
['dgoR'],4
['ybfP'],2
['rpoA'],2
['insI2'],2
['rpsC'],2
['glmS'],4
['viaA'],10
['rsmI'],2
['aroA'],2
['atpA'],2
['rplX'],2
['atpF'],2
['fabF'],2
['ybcL'],2
['folP'],2
['rsmG'],3
['ybfG'],2
['tmk'],3
['ispE'],2
['nusG'],3
['aroK'],2
['rplD'],2
['rpmH'],8
['radA'],2
['gudP'],2
['atpB'],2
['kup'],10
['ruvA'],2
['tsaD'],2
['ybbC'],2
['atpG'],2
['rpmD'],2
['ybcM'],2
['rnr'],2
['garR'],2
['waaF'],2
['prs'],2
['rplE'],2
['yaaJ'],5
['rbsB'],2
['rpiB'],2
['rplP'],2
['istA'],2
['folK'],2
['ybcI'],2
['nhaA'],2
['ribD'],2
['nadD'],4
['hflX'],2
['yaaI'],6
['mltG'],2
['tadA'],2
['purR'],2
['ruvC'],4
['guaB'],2
['ftsH'],2
['rplF'],2
['yabR'],2
['cysE'],2
['abrB'],2
['ovoA'],4
['repB'],2
['rbsR'],2
['cysK'],2
['tal'],4
['pstS'],2
['nadC'],2
['rnpA'],7
['rplJ'],3
['folB'],2
['rpsM'],2
['repA'],2
